source_id|source|source_column|name|azt_id
10134|IMPACT|TRIAL_ALIAS_CODE|1033IL/0034|D5395C00034
10133|IMPACT|TRIAL_ALIAS_CODE|D3560C00071|D3560C00071
10130|IMPACT|TRIAL_ALIAS_CODE|1839IL/0226|D7917C00226
10128|IMPACT|TRIAL_ALIAS_CODE|1839IL/0224|D7917C00224
10126|IMPACT|TRIAL_ALIAS_CODE|1839IL/0222|D7917C00222
10125|IMPACT|TRIAL_ALIAS_CODE|1839IL/0221|D7917C00221
11432|IMPACT|TRIAL_ALIAS_CODE|05-2005|05-2005
11431|IMPACT|TRIAL_ALIAS_CODE|05-2004|05-2004
11430|IMPACT|TRIAL_ALIAS_CODE|05-2003|05-2003
11429|IMPACT|TRIAL_ALIAS_CODE|05-2002|05-2002
11427|IMPACT|TRIAL_ALIAS_CODE|05-0260|05-0260
11426|IMPACT|TRIAL_ALIAS_CODE|05-0255|05-0255
11425|IMPACT|TRIAL_ALIAS_CODE|05-0254|05-0254
11424|IMPACT|TRIAL_ALIAS_CODE|05-0244|05-0244
9293|IMPACT|TRIAL_ALIAS_CODE|1033US/0017|
9292|IMPACT|TRIAL_ALIAS_CODE|1033US/0016|D5394L00016
9291|IMPACT|TRIAL_ALIAS_CODE|IRUSANAS0013|
9290|IMPACT|TRIAL_ALIAS_CODE|IRUSANAS0001|
9289|IMPACT|TRIAL_ALIAS_CODE|1033US/0013|D5390L00020
10499|IMPACT|TRIAL_ALIAS_CODE|IRUSESOM0090|
10498|IMPACT|TRIAL_ALIAS_CODE|IRUSESOM0089|
10497|IMPACT|TRIAL_ALIAS_CODE|IRUSESOM0084|
10496|IMPACT|TRIAL_ALIAS_CODE|IRUSESOM0083|
10124|IMPACT|TRIAL_ALIAS_CODE|1839IL/0220|D7917C00220
10123|IMPACT|TRIAL_ALIAS_CODE|1839IL/0219|D7917C00219
10121|IMPACT|TRIAL_ALIAS_CODE|SA-MET-0003|SA-MET-0003
10005|IMPACT|TRIAL_ALIAS_CODE|1839IL/0209|D7916C00209
10003|IMPACT|TRIAL_ALIAS_CODE|1839IL/0055|D7913C00055
9999|IMPACT|TRIAL_ALIAS_CODE|D6160C00020|D6160C00020
11423|IMPACT|TRIAL_ALIAS_CODE|04-7047|04-7047
11422|IMPACT|TRIAL_ALIAS_CODE|04-7046|04-7046
11421|IMPACT|TRIAL_ALIAS_CODE|04-7045|04-7045
11420|IMPACT|TRIAL_ALIAS_CODE|04-7044|04-7044
11419|IMPACT|TRIAL_ALIAS_CODE|04-7043|04-7043
11417|IMPACT|TRIAL_ALIAS_CODE|04-7041|04-7041
11416|IMPACT|TRIAL_ALIAS_CODE|04-7040|04-7040
11415|IMPACT|TRIAL_ALIAS_CODE|04-7039|04-7039
9984|IMPACT|TRIAL_ALIAS_CODE|1839IL/0066|D7913C00066
12372|IMPACT|TRIAL_ALIAS_CODE|D1400C00017|D1400C00017
12654|IMPACT|TRIAL_ALIAS_CODE|D5340M00003|D5340M00003
12371|IMPACT|TRIAL_ALIAS_CODE|D7913L00027|D7913L00027
12370|IMPACT|TRIAL_ALIAS_CODE|D7913L00026|D7913L00026
12369|IMPACT|TRIAL_ALIAS_CODE|1839IL/0570|D7913L00025
13152|IMPACT|TRIAL_ALIAS_CODE|D5890C00010|D5890C00010
13054|IMPACT|TRIAL_ALIAS_CODE|IRUSIRES0453|
14261|IMPACT|TRIAL_ALIAS_CODE|D1690C00001|D1690C00001
13813|IMPACT|TRIAL_ALIAS_CODE|D0620M00001|D0620M00001
